Time	Left_Forefoot_y_baseline X
15.880000	0.01099284	
15.900000	0.00492683	
15.920000	-0.00223953	
15.940000	-0.00937235	
15.960000	-0.01274067	
15.980000	-0.01281720	
16.000000	-0.01297107	
16.020000	-0.01020548	
16.039999	-0.00333227	
16.059999	0.00865102	
16.080000	0.02010974	
16.100000	0.02593568	
16.119999	0.02427128	
16.139999	0.01748425	
16.160000	0.00865328	
16.180000	-0.00287868	
16.199999	-0.01116616	
16.219999	-0.01687506	
16.240000	-0.01745969	
16.260000	-0.01689193	
16.279999	-0.01105672	
16.299999	-0.00059117	
16.320000	0.00912601	
16.340000	0.01371254	
16.359999	0.01347288	
16.379999	0.01019035	
16.400000	0.00536068	
16.420000	-0.00318745	
16.440001	-0.00944743	
16.459999	-0.01385686	
16.480000	-0.01435161	
16.500000	-0.01404694	
16.520000	-0.01326564	
16.539999	-0.00789782	
16.559999	-0.00041920	
16.580000	0.00771050	
16.600000	0.01125348	
16.619999	0.00864835	
16.639999	0.00426959	
16.660000	-0.00342751	
16.680000	-0.00767174	
16.699999	-0.01137227	
16.719999	-0.01175448	
16.740000	-0.01186803	
16.760000	-0.00917590	
16.779999	-0.00340118	
16.799999	0.00228797	
16.820000	0.00337330	
16.840000	-0.00170304	
16.859999	-0.00980785	
16.879999	-0.01554987	
16.900000	-0.01771352	
16.920000	-0.01727927	
16.940001	-0.01126489	
16.959999	-0.00079852	
16.980000	0.01469481	
17.000000	0.02719073	
17.020000	0.03869408	
17.039999	0.04525751	
17.059999	0.04963957	
17.080000	0.05013883	
17.100000	0.04732697	
17.119999	0.03923799	
17.139999	0.02485386	
17.160000	0.00687861	
17.180000	-0.00596043	
17.199999	-0.01279724	
17.219999	-0.01092279	
17.240000	-0.00934231	
17.260000	-0.00363055	
17.279999	0.00467812	
17.299999	0.01660237	
17.320000	0.02464074	
17.340000	0.02659500	
17.359999	0.02493346	
17.379999	0.01962611	
17.400000	0.01403509	
17.420000	0.00596938	
17.440001	0.00106686	
17.459999	-0.00395001	
17.480000	-0.00649178	
17.500000	-0.00857997	
17.520000	-0.00857997	
17.539999	-0.00711961	
17.559999	-0.00316317	
17.580000	0.00422412	
17.600000	0.01066884	
17.619999	0.01372632	
17.639999	0.01235628	
17.660000	0.00835501	
17.680000	0.00460921	
17.699999	-0.00031860	
17.719999	-0.00322366	
17.740000	-0.00772749	
17.760000	-0.01005223	
17.779999	-0.01273388	
17.799999	-0.01320970	
17.820000	-0.01450875	
17.840000	-0.01535690	
17.859999	-0.01110321	
17.879999	-0.00243948	
17.900000	0.01023191	
17.920000	0.02074127	
17.940001	0.03020975	
17.959999	0.03582402	
17.980000	0.03812344	
18.000000	0.03718089	
18.020000	0.03377306	
18.039999	0.02738450	
18.059999	0.01617840	
18.080000	0.00192529	
18.100000	-0.00996685	
18.119999	-0.01641262	
18.139999	-0.01726466	
18.160000	-0.01701576	
18.180000	-0.01725274	
18.199999	-0.01769421	
18.219999	-0.01746380	
18.240000	-0.01668209	
18.260000	-0.01341498	
18.279999	-0.00959411	
18.299999	-0.00344253	
18.320000	0.00124645	
18.340000	0.00687429	
18.359999	0.01115267	
18.379999	0.01526318	
18.400000	0.01713228	
18.420000	0.01860578	
18.440001	0.01919165	
18.459999	0.01908942	
18.480000	0.01754186	
18.500000	0.01300736	
18.520000	0.00826593	
18.539999	0.00329369	
18.559999	0.00052688	
18.580000	-0.00187254	
18.600000	-0.00326212	
18.619999	-0.00638810	
18.639999	-0.01157224	
18.660000	-0.01710320	
18.680000	-0.02020675	
18.699999	-0.02217624	
18.719999	-0.02359870	
18.740000	-0.02321938	
18.760000	-0.01991874	
18.779999	-0.01088825	
18.799999	0.00041763	
18.820000	0.01517536	
18.840000	0.02408326	
18.859999	0.02840586	
18.879999	0.02754989	
18.900000	0.02501492	
18.920000	0.01971272	
18.939999	0.00958392	
18.959999	-0.00377578	
18.980000	-0.01397288	
19.000000	-0.01904264	
19.020000	-0.01835740	
19.039999	-0.01531103	
19.059999	-0.00762916	
19.080000	0.00032981	
19.100000	0.00690824	
19.119999	0.00879028	
19.139999	0.00638799	
19.160000	0.00079368	
19.180000	-0.00700009	
19.199999	-0.01166007	
19.219999	-0.01457295	
19.240000	-0.01534745	
19.260000	-0.01351660	
19.279999	-0.00668001	
19.299999	0.00400092	
19.320000	0.01230425	
19.340000	0.01467198	
19.359999	0.01206027	
19.379999	0.00677267	
19.400000	-0.00006476	
19.420000	-0.00813685	
19.439999	-0.01364949	
19.459999	-0.01785424	
19.480000	-0.01953778	
19.500000	-0.02045956	
19.520000	-0.01940364	
19.539999	-0.01697090	
19.559999	-0.01088968	
19.580000	0.00104320	
19.600000	0.01481906	
19.619999	0.02640574	
19.639999	0.03208829	
19.660000	0.03487322	
19.680000	0.03285663	
19.699999	0.02600913	
19.719999	0.01389562	
19.740000	-0.00024228	
19.760000	-0.00963691	
19.779999	-0.01437977	
19.799999	-0.01447254	
19.820000	-0.01226816	
19.840000	-0.00960213	
19.859999	-0.00179273	
19.879999	0.00561143	
19.900000	0.01204093	
19.920000	0.01198189	
19.939999	0.00702426	
19.959999	-0.00110956	
19.980000	-0.00805333	
20.000000	-0.01199004	
20.020000	-0.01201573	
