Time	Knee_Angle_left_4.84 X
16.160000	179.03939819
16.180000	178.81517029
16.199999	178.25753784
16.219999	177.48182678
16.240000	176.46119690
16.260000	175.23123169
16.279999	173.69314575
16.299999	171.67149353
16.320000	168.80613708
16.340000	164.79634094
16.359999	159.55578613
16.379999	153.29858398
16.400000	146.52197266
16.420000	139.81286621
16.440001	133.80281067
16.459999	128.89530945
16.480000	125.32594299
16.500000	123.10151672
16.520000	122.25539398
16.539999	122.71606445
16.559999	124.42573547
16.580000	127.19075012
16.600000	130.93682861
16.619999	135.56478882
16.639999	141.08847046
16.660000	147.45857239
16.680000	154.51347351
16.699999	161.88439941
16.719999	168.95712280
16.740000	174.86056519
16.760000	178.67614746
16.779999	179.96438599
16.799999	178.99308777
16.820000	176.02137756
16.840000	171.96463013
16.859999	168.07154846
16.879999	165.16363525
16.900000	163.35900879
16.920000	162.47940063
16.940001	162.41645813
16.959999	162.95440674
16.980000	163.73147583
17.000000	164.67459106
17.020000	165.82324219
17.039999	167.15228271
17.059999	168.40730286
17.080000	169.57478333
17.100000	170.66679382
17.119999	171.74937439
17.139999	172.74450684
17.160000	173.63699341
17.180000	174.40364075
17.199999	174.97680664
17.219999	175.30973816
17.240000	175.32835388
17.260000	175.01176453
17.279999	174.29377747
17.299999	173.13916016
17.320000	171.46173096
17.340000	169.09934998
17.359999	165.85057068
17.379999	161.50796509
17.400000	156.12057495
17.420000	149.90080261
17.440001	143.41920471
17.459999	137.19665527
17.480000	131.78559875
17.500000	127.52510071
17.520000	124.63483429
17.539999	123.13468933
17.559999	122.97881317
17.580000	124.07485962
17.600000	126.34967804
17.619999	129.59974670
17.639999	133.75222778
17.660000	138.67292786
17.680000	144.42323303
17.699999	150.87347412
17.719999	158.00891113
17.740000	165.38931274
17.760000	172.35954285
17.779999	177.77107239
17.799999	179.13633728
17.820000	178.52449036
17.840000	179.83566284
17.859999	176.33326721
17.879999	171.86738586
17.900000	167.65136719
17.920000	164.42135620
17.940001	162.35156250
17.959999	161.37438965
17.980000	161.46629333
18.000000	162.25329590
18.020000	163.40882874
18.039999	164.72166443
18.059999	166.22569275
18.080000	167.86465454
18.100000	169.53984070
18.119999	171.04457092
18.139999	172.37107849
18.160000	173.61660767
18.180000	174.83525085
18.199999	175.91540527
18.219999	176.79696655
18.240000	177.43266296
18.260000	177.87533569
18.279999	178.05003357
18.299999	177.98554993
18.320000	177.57516479
18.340000	176.83798218
18.359999	175.62976074
18.379999	173.92704773
18.400000	171.50558472
18.420000	168.14746094
18.440001	163.60021973
18.459999	157.89532471
18.480000	151.34866333
18.500000	144.44943237
18.520000	137.80726624
18.539999	131.92849731
18.559999	127.17330170
18.580000	123.64672852
18.600000	121.45304108
18.619999	120.60478210
18.639999	121.11921692
18.660000	122.89722443
18.680000	125.84387970
18.699999	129.83700562
18.719999	134.83139038
18.740000	140.79470825
18.760000	147.66343689
18.779999	155.15686035
18.799999	162.82235718
18.820000	169.92065430
18.840000	175.42481995
18.859999	178.58572388
18.879999	179.21516418
18.900000	177.50909424
18.920000	173.96156311
18.939999	169.59928894
18.959999	165.57582092
18.980000	162.53645325
19.000000	160.49903870
19.020000	159.45980835
19.039999	159.35168457
19.059999	159.95896912
19.080000	160.95143127
19.100000	162.25077820
19.119999	163.81503296
19.139999	165.54478455
19.160000	167.21171570
19.180000	168.73310852
19.199999	170.17918396
19.219999	171.61698914
19.240000	172.94670105
19.260000	174.10281372
19.279999	175.02299500
19.299999	175.70384216
19.320000	176.07902527
19.340000	176.14546204
19.359999	175.84724426
19.379999	175.19445801
19.400000	174.20454407
19.420000	172.83615112
19.439999	171.01510620
19.459999	168.58628845
19.480000	165.32202148
19.500000	160.95964050
19.520000	155.49449158
19.539999	149.21080017
19.559999	142.64898682
19.580000	136.39108276
19.600000	130.99481201
19.619999	126.81559753
19.639999	123.99845886
19.660000	122.57337189
19.680000	122.44641876
19.699999	123.57341766
19.719999	125.86666107
19.740000	129.19622803
19.760000	133.39363098
19.779999	138.40199280
19.799999	144.23808289
19.820000	150.81050110
19.840000	157.94908142
19.859999	165.27310181
19.879999	172.08361816
19.900000	177.25617981
19.920000	179.18283081
19.939999	178.86766052
19.959999	179.14761353
19.980000	175.79576111
20.000000	171.98568726
20.020000	167.65756226
20.039999	163.42390442
20.059999	160.52671814

