Time	Step_Length_2 X
20.680000	0.19129544	
20.699999	0.19241065	
20.719999	0.19099593	
20.740000	0.18799943	
20.760000	0.18355107	
20.779999	0.17709816	
20.799999	0.16836458	
20.820000	0.15691400	
20.840000	0.14274287	
20.859999	0.12552834	
20.879999	0.10533124	
20.900000	0.08241618	
20.920000	0.05765659	
20.939999	0.03143805	
20.959999	0.00390738	
20.980000	-0.02430809	
21.000000	-0.05394369	
21.020000	-0.08526772	
21.039999	-0.11846673	
21.059999	-0.15181381	
21.080000	-0.18415815	
21.100000	-0.21261930	
21.119999	-0.23478878	
21.139999	-0.24934429	
21.160000	-0.25756389	
21.180000	-0.26104289	
21.199999	-0.26130980	
21.219999	-0.26024956	
21.240000	-0.25838315	
21.260000	-0.25533688	
21.279999	-0.25046790	
21.299999	-0.24374741	
21.320000	-0.23546523	
21.340000	-0.22530580	
21.359999	-0.21329331	
21.379999	-0.19880098	
21.400000	-0.18193752	
21.420000	-0.16207922	
21.439999	-0.13952965	
21.459999	-0.11405796	
21.480000	-0.08656639	
21.500000	-0.05697811	
21.520000	-0.02587557	
21.539999	0.00669152	
21.559999	0.03952038	
21.580000	0.07139224	
21.600000	0.09975821	
21.619999	0.12293154	
21.639999	0.13931042	
21.660000	0.14927769	
21.680000	0.15379995	
21.699999	0.15508777	
21.719999	0.15465629	
21.740000	0.15392083	
21.760000	0.15314478	
21.779999	0.15210372	
21.799999	0.14996505	
21.820000	0.14603454	
21.840000	0.13967443	
21.859999	0.13033491	
21.879999	0.11793703	
21.900000	0.10284400	
21.920000	0.08572781	
21.939999	0.06692475	
21.959999	0.04636639	
21.980000	0.02334869	
22.000000	-0.00049454	
22.020000	-0.02434784	
