Time	Right_paced_y_velocity X
20.420000	0.21413863	
20.439999	-0.03858564	
20.459999	-0.34389880	
20.480000	-0.62847477	
20.500000	-0.79156172	
20.520000	-0.78600460	
20.539999	-0.65318769	
20.559999	-0.43165797	
20.580000	-0.18565312	
20.600000	0.00087898	
20.619999	0.11600289	
20.639999	0.22607370	
20.660000	0.38014337	
20.680000	0.52280885	
20.699999	0.60745782	
20.719999	0.58809972	
20.740000	0.44151685	
20.760000	0.17773812	
20.779999	-0.16305129	
20.799999	-0.47915271	
20.820000	-0.66545135	
20.840000	-0.68393523	
20.859999	-0.57121700	
20.879999	-0.37605035	
20.900000	-0.15525532	
20.920000	0.03815925	
20.939999	0.19921155	
20.959999	0.36230731	
20.980000	0.53546023	
21.000000	0.65089053	
21.020000	0.64939553	
21.039999	0.48425478	
21.059999	0.14937049	
21.080000	-0.25759029	
21.100000	-0.57832038	
21.119999	-0.71664691	
21.139999	-0.67492956	
21.160000	-0.50381261	
21.180000	-0.27618694	
21.199999	-0.07087797	
21.219999	0.06731112	
21.240000	0.17959785	
21.260000	0.31761807	
21.279999	0.47357923	
21.299999	0.59106356	
21.320000	0.60913432	
21.340000	0.50715429	
21.359999	0.29892668	
21.379999	-0.00123481	
21.400000	-0.33735788	
21.420000	-0.59017205	
21.439999	-0.68364680	
21.459999	-0.62809795	
21.480000	-0.47427744	
21.500000	-0.27008221	
21.520000	-0.07852028	
21.539999	0.05718300	
21.559999	0.16806673	
21.580000	0.30606297	
21.600000	0.47004393	
21.619999	0.60165727	
21.639999	0.64817262	
21.660000	0.59419757	
21.680000	0.44920543	
21.699999	0.23750621	
21.719999	-0.03963341	
21.740000	-0.34715191	
21.760000	-0.60359579	
21.779999	-0.72889310	
21.799999	-0.70850533	
21.820000	-0.56819338	
21.840000	-0.35379398	
21.859999	-0.14624013	
21.879999	-0.00775655	
21.900000	0.07310445	
21.920000	0.17570922	
21.939999	0.32491666	
21.959999	0.48964345	
21.980000	0.62472773	
22.000000	0.68353128	
22.020000	0.64139020	
22.039999	0.50594205	
22.059999	0.30646503	
22.080000	0.05434557	
22.100000	-0.26541540	
22.119999	-0.58029729	
22.139999	-0.78038257	
22.160000	-0.81108016	
22.180000	-0.69846278	
22.199999	-0.48427564	
22.219999	-0.23496321	
22.240000	-0.03923176	
22.260000	0.07442456	
22.279999	0.16838361	
22.299999	0.31253552	
22.320000	0.48074490	
22.340000	0.62647027	
22.359999	0.70350975	
