Time	Left_paced_y_velocity X
18.580000	-0.39167255	
18.600000	-0.38893896	
18.619999	-0.33434206	
18.639999	-0.21346818	
18.660000	-0.04945588	
18.680000	0.06666597	
18.699999	0.09031696	
18.719999	0.06270009	
18.740000	0.06431040	
18.760000	0.01579460	
18.779999	-0.01305453	
18.799999	0.02581060	
18.820000	0.12072053	
18.840000	0.21528704	
18.859999	0.29404730	
18.879999	0.34658691	
18.900000	0.32134113	
18.920000	0.22416937	
18.939999	0.11919260	
18.959999	0.06841604	
18.980000	0.03561817	
19.000000	0.00806233	
19.020000	-0.10792081	
19.039999	-0.27162459	
19.059999	-0.39136207	
19.080000	-0.41237992	
19.100000	-0.35544384	
19.119999	-0.26260164	
19.139999	-0.16093180	
19.160000	-0.07879955	
19.180000	-0.01979258	
19.199999	-0.02496279	
19.219999	-0.05680879	
19.240000	-0.03545531	
19.260000	0.07523072	
19.279999	0.18557464	
19.299999	0.25128129	
19.320000	0.34056136	
19.340000	0.39829981	
19.359999	0.31894445	
19.379999	0.06032373	
19.400000	-0.20253333	
19.420000	-0.34656474	
19.439999	-0.37722236	
19.459999	-0.33291006	
19.480000	-0.21074487	
19.500000	-0.02847859	
19.520000	0.07782762	
19.539999	0.04497001	
19.559999	0.00303915	
19.580000	0.06420262	
19.600000	0.15882093	
19.619999	0.24580835	
19.639999	0.31949535	
19.660000	0.34454811	
19.680000	0.27631262	
19.699999	0.15610760	
19.719999	0.06410620	
19.740000	0.02915883	
19.760000	-0.03523577	
19.779999	-0.13229457	
19.799999	-0.25896463	
19.820000	-0.35453698	
19.840000	-0.37853771	
19.859999	-0.31290764	
19.879999	-0.18000123	
19.900000	-0.03485144	
19.920000	0.07009820	
19.939999	0.05991723	
19.959999	-0.00506689	
19.980000	-0.03487938	
20.000000	0.03595332	
20.020000	0.14973494	
20.039999	0.27185538	
20.059999	0.37677702	
20.080000	0.40087497	
20.100000	0.31714016	
20.119999	0.16817439	
20.139999	-0.04071381	
20.160000	-0.26523200	
20.180000	-0.41569436	
20.199999	-0.44909045	
20.219999	-0.39426342	
20.240000	-0.26165515	
20.260000	-0.07831265	
20.279999	0.05385638	
20.299999	0.09776163	
20.320000	0.05848393	
20.340000	-0.00385363	
20.359999	-0.03532965	
20.379999	0.03107040	
20.400000	0.15040326	
20.420000	0.25527108	
20.439999	0.34670419	
20.459999	0.38854942	
20.480000	0.32353109	
20.500000	0.19108632	
20.520000	0.08782244	
20.539999	0.02771323	
20.559999	-0.11884938	
20.580000	-0.29946157	
20.600000	-0.42437196	
20.619999	-0.44484210	
20.639999	-0.38827035	
20.660000	-0.25954175	
20.680000	-0.07568216	
20.699999	0.06063864	
20.719999	0.10397840	
20.740000	0.07891143	
20.760000	0.08601605	
20.779999	0.11000033	
20.799999	0.17370413	
20.820000	0.24856071	
20.840000	0.30331737	
20.859999	0.31804219	
20.879999	0.28660536	
20.900000	0.22084574	
20.920000	0.13170156	
20.939999	0.02967180	
20.959999	-0.11018132	
20.980000	-0.27291521	
21.000000	-0.41273823	
21.020000	-0.47024024	
21.039999	-0.42618546	
21.059999	-0.29339725	
21.080000	-0.11562452	
21.100000	0.03118278	
21.119999	0.10403726	
21.139999	0.11736435	
21.160000	0.14248498	
21.180000	0.20386873	
21.199999	0.28573188	
21.219999	0.35023198	
21.240000	0.37252837	
21.260000	0.34379566	
21.279999	0.25679454	
21.299999	0.14671528	
21.320000	0.04049389	
21.340000	-0.06402951	
21.359999	-0.20769317	
21.379999	-0.36187467	
21.400000	-0.46957812	
21.420000	-0.49098796	
21.439999	-0.42531025	
21.459999	-0.29157898	
21.480000	-0.12573278	
21.500000	0.00046454	
21.520000	0.06453560	
21.539999	0.08820721	
21.559999	0.13058142	
21.580000	0.20377548	
21.600000	0.28490302	
21.619999	0.33789495	
21.639999	0.35124177	
21.660000	0.32558185	
21.680000	0.25321606	
21.699999	0.15724686	
21.719999	0.04896333	
21.740000	-0.09334028	
21.760000	-0.27736259	
21.779999	-0.43195510	
21.799999	-0.49476665	
21.820000	-0.45437759	
21.840000	-0.32957110	
21.859999	-0.15598392	
21.879999	0.00179590	
21.900000	0.08119826	
21.920000	0.10505476	
21.939999	0.13431467	
21.959999	0.20206152	
21.980000	0.27932805	
22.000000	0.34120825	
22.020000	0.36638942	
22.039999	0.34227589	
22.059999	0.26969045	
22.080000	0.16578612	
22.100000	0.07170082	
22.119999	-0.01617322	
22.139999	-0.08923346	
22.160000	-0.15782422	
22.180000	-0.22784880	
22.199999	-0.31450781	
22.219999	-0.37981346	
22.240000	-0.39329973	
22.260000	-0.34863061	
22.279999	-0.24442147	
22.299999	-0.10460623	
22.320000	0.02860097	
22.340000	0.09783589	
