Time	Right_Heel_y_baseline X
16.859999	-0.03381921	
16.879999	-0.02699074	
16.900000	-0.01639082	
16.920000	-0.00511414	
16.940001	0.00937454	
16.959999	0.02011653	
16.980000	0.02991177	
17.000000	0.03150190	
17.020000	0.02460301	
17.039999	0.00802452	
17.059999	-0.01267278	
17.080000	-0.03015381	
17.100000	-0.04104196	
17.119999	-0.04544879	
17.139999	-0.04507726	
17.160000	-0.04195043	
17.180000	-0.03487916	
17.199999	-0.02632463	
17.219999	-0.01406989	
17.240000	-0.00058794	
17.260000	0.01588552	
17.279999	0.03040592	
17.299999	0.04294848	
17.320000	0.04999886	
17.340000	0.05058718	
17.359999	0.04320293	
17.379999	0.02836586	
17.400000	0.00819299	
17.420000	-0.01445514	
17.440001	-0.03357275	
17.459999	-0.04428691	
17.480000	-0.04810831	
17.500000	-0.04675031	
17.520000	-0.04485312	
17.539999	-0.03979430	
17.559999	-0.03332056	
17.580000	-0.02311243	
17.600000	-0.01319622	
17.619999	-0.00091875	
17.639999	0.01018516	
17.660000	0.02266958	
17.680000	0.03036048	
17.699999	0.03380113	
17.719999	0.02888764	
17.740000	0.01640568	
17.760000	-0.00087187	
17.779999	-0.02049960	
17.799999	-0.03501713	
17.820000	-0.04387791	
17.840000	-0.04601747	
17.859999	-0.04312685	
17.879999	-0.03943995	
17.900000	-0.03220165	
17.920000	-0.02464955	
17.940001	-0.01267749	
17.959999	0.00051746	
17.980000	0.01459794	
18.000000	0.02352218	
18.020000	0.02801397	
18.039999	0.02452747	
18.059999	0.01441985	
18.080000	-0.00212915	
18.100000	-0.02065437	
18.119999	-0.03484561	
18.139999	-0.04331601	
18.160000	-0.04558739	
18.180000	-0.04270291	
18.199999	-0.03778166	
18.219999	-0.02989179	
18.240000	-0.02141933	
18.260000	-0.01002127	
18.279999	0.00208405	
18.299999	0.01408087	
18.320000	0.02208434	
18.340000	0.02604473	
18.359999	0.02320345	
18.379999	0.01197529	
18.400000	-0.00589733	
18.420000	-0.02631521	
18.440001	-0.03959511	
18.459999	-0.04609197	
18.480000	-0.04580785	
18.500000	-0.04178995	
18.520000	-0.03725679	
18.539999	-0.03005227	
18.559999	-0.02205904	
18.580000	-0.01015802	
18.600000	0.00209796	
18.619999	0.01489394	
18.639999	0.02583184	
18.660000	0.03238909	
18.680000	0.03342243	
18.699999	0.02449553	
18.719999	0.00910617	
18.740000	-0.01217392	
18.760000	-0.02972311	
18.779999	-0.04175964	
18.799999	-0.04677364	
18.820000	-0.04731569	
18.840000	-0.04600723	
18.859999	-0.04131953	
18.879999	-0.03554527	
18.900000	-0.02619649	
18.920000	-0.01756355	
18.939999	-0.00539027	
18.959999	0.00469278	
18.980000	0.01424811	
19.000000	0.01840849	
19.020000	0.01642103	
19.039999	0.00549152	
19.059999	-0.01176575	
19.080000	-0.02833317	
19.100000	-0.03978282	
19.119999	-0.04490429	
19.139999	-0.04460563	
19.160000	-0.04020451	
19.180000	-0.03177956	
19.199999	-0.02075057	
19.219999	-0.00527667	
19.240000	0.01200558	
19.260000	0.03124807	
19.279999	0.04778009	
19.299999	0.06193243	
19.320000	0.06956949	
19.340000	0.06947921	
19.359999	0.05990669	
19.379999	0.04250018	
19.400000	0.02154126	
19.420000	-0.00169519	
19.439999	-0.02214992	
19.459999	-0.03736590	
19.480000	-0.04437371	
19.500000	-0.04566947	
19.520000	-0.04382429	
19.539999	-0.03746784	
19.559999	-0.02909672	
19.580000	-0.01522748	
19.600000	-0.00136356	
19.619999	0.01652358	
19.639999	0.03112710	
19.660000	0.04469378	
19.680000	0.05140149	
19.699999	0.05138552	
19.719999	0.04317652	
19.740000	0.02685105	
19.760000	0.00569582	
19.779999	-0.01810335	
19.799999	-0.03496842	
19.820000	-0.04411578	
19.840000	-0.04544082	
19.859999	-0.04279667	
19.879999	-0.03825390	
19.900000	-0.02980705	
19.920000	-0.02049018	
19.939999	-0.00612126	
19.959999	0.00870209	
19.980000	0.02442102	
20.000000	0.03696788	
20.020000	0.04466942	
20.039999	0.04786176	
20.059999	0.04280765	
20.080000	0.03113119	
20.100000	0.01092537	
20.119999	-0.01108511	
20.139999	-0.03101888	
20.160000	-0.04219833	
20.180000	-0.04681151	
20.199999	-0.04605432	
20.219999	-0.04216230	
20.240000	-0.03703429	
20.260000	-0.02829163	
20.279999	-0.01964599	
20.299999	-0.00527462	
20.320000	0.00797519	
20.340000	0.02276518	
20.359999	0.03270249	
20.379999	0.04015552	
20.400000	0.04277305	
20.420000	0.03875330	
20.439999	0.02878345	
20.459999	0.01107746	
20.480000	-0.00839962	
20.500000	-0.02692892	
20.520000	-0.03842299	
20.539999	-0.04414402	
20.559999	-0.04481116	
20.580000	-0.04213957	
20.600000	-0.03778984	
20.619999	-0.03059249	
20.639999	-0.02249853	
20.660000	-0.01100016	
20.680000	0.00105357	
20.699999	0.01364075	
20.719999	0.02290806	
20.740000	0.02590226	
20.760000	0.01996996	
20.779999	0.00512511	
20.799999	-0.01376857	
20.820000	-0.03211650	
20.840000	-0.04225810	
20.859999	-0.04674047	
20.879999	-0.04590672	
20.900000	-0.04243967	
20.920000	-0.03666644	
20.939999	-0.02675390	
20.959999	-0.01530220	
20.980000	-0.00074781	
21.000000	0.01344813	
21.020000	0.02784099	
21.039999	0.03982063	
21.059999	0.04651523	
21.080000	0.04674491	
21.100000	0.03744362	
21.119999	0.02158937	
21.139999	-0.00096849	
21.160000	-0.02198677	
21.180000	-0.03788666	
21.199999	-0.04492497	
21.219999	-0.04627825	
21.240000	-0.04325378	
21.260000	-0.03729139	
21.279999	-0.02874525	
21.299999	-0.01693143	
21.320000	-0.00373219	
21.340000	0.01107439	
21.359999	0.02278607	
21.379999	0.02997994	
21.400000	0.03206688	
21.420000	0.02461406	
21.439999	0.00963595	
21.459999	-0.01159380	
21.480000	-0.02948116	
21.500000	-0.04103152	
21.520000	-0.04585493	
21.539999	-0.04481791	
21.559999	-0.04159588	
21.580000	-0.03533484	
21.600000	-0.02898987	
21.619999	-0.01852320	
21.639999	-0.00748561	
21.660000	0.00677378	
21.680000	0.01689143	
21.699999	0.02266467	
21.719999	0.01995175	
21.740000	0.00856903	
21.760000	-0.00802214	
21.779999	-0.02790084	
21.799999	-0.04107757	
21.820000	-0.04755847	
21.840000	-0.04733063	
21.859999	-0.04291663	
21.879999	-0.03773232	
21.900000	-0.02826440	
21.920000	-0.01736049	
21.939999	-0.00154042	
21.959999	0.01500981	
21.980000	0.03281651	
22.000000	0.04929264	
22.020000	0.06511924	
