Time	Hip_Knee_Angle_right X
16.500000	98.82073975	
16.520000	99.80593872	
16.539999	101.12192535	
16.559999	102.75487518	
16.580000	104.69909668	
16.600000	106.77928162	
16.619999	108.85118866	
16.639999	110.67887115	
16.660000	112.16799164	
16.680000	113.21345520	
16.699999	113.84674835	
16.719999	114.09695435	
16.740000	114.05676270	
16.760000	113.80830383	
16.779999	113.39968109	
16.799999	112.89306641	
16.820000	112.26913452	
16.840000	111.55187988	
16.859999	110.72149658	
16.879999	109.86708069	
16.900000	108.97353363	
16.920000	108.04249573	
16.940001	107.07256317	
16.959999	106.14434052	
16.980000	105.21829224	
17.000000	104.30630493	
17.020000	103.42317963	
17.039999	102.64627075	
17.059999	101.87891388	
17.080000	101.12109375	
17.100000	100.34425354	
17.119999	99.61840820	
17.139999	98.88704681	
17.160000	98.20088959	
17.180000	97.53882599	
17.199999	96.93812561	
17.219999	96.39342499	
17.240000	95.98767853	
17.260000	95.76438904	
17.279999	95.83652496	
17.299999	96.26389313	
17.320000	97.14591217	
17.340000	98.48686981	
17.359999	100.25373840	
17.379999	102.30544281	
17.400000	104.47771454	
17.420000	106.55479431	
17.440001	108.37226868	
17.459999	109.81368256	
17.480000	110.85542297	
17.500000	111.50307465	
17.520000	111.82730103	
17.539999	111.88686371	
17.559999	111.78389740	
17.580000	111.53929901	
17.600000	111.22356415	
17.619999	110.83065796	
17.639999	110.38912201	
17.660000	109.79940033	
17.680000	109.05525970	
17.699999	108.15022278	
17.719999	107.13069916	
17.740000	105.98258209	
17.760000	104.79734802	
17.779999	103.65625763	
17.799999	102.61743927	
17.820000	101.64791870	
17.840000	100.78092957	
17.859999	100.00157928	
17.879999	99.28354645	
17.900000	98.55463409	
17.920000	97.86486816	
17.940001	97.19691467	
17.959999	96.60952759	
17.980000	96.09410095	
18.000000	95.71846008	
18.020000	95.47281647	
18.039999	95.39733124	
18.059999	95.48320007	
18.080000	95.75714111	
18.100000	96.25453186	
18.119999	97.03951263	
18.139999	98.17264557	
18.160000	99.67085266	
18.180000	101.53593445	
18.199999	103.64086151	
18.219999	105.79551697	
18.240000	107.77850342	
18.260000	109.43273926	
18.279999	110.65454865	
18.299999	111.41712952	
18.320000	111.75595093	
18.340000	111.75571442	
18.359999	111.50710297	
18.379999	111.07516479	
18.400000	110.53003693	
18.420000	109.90995789	
18.440001	109.22951508	
18.459999	108.46104431	
18.480000	107.63784027	
18.500000	106.78059387	
18.520000	105.92256165	
18.539999	105.02581024	
18.559999	104.16977692	
18.580000	103.34366608	
18.600000	102.56493378	
18.619999	101.76596069	
18.639999	101.04733276	
18.660000	100.36801147	
18.680000	99.75402832	
18.699999	99.12926483	
18.719999	98.57755280	
18.740000	98.05052948	
18.760000	97.59237671	
18.779999	97.16568756	
18.799999	96.83773041	
18.820000	96.59459686	
18.840000	96.50072479	
18.859999	96.57794189	
18.879999	96.90098572	
18.900000	97.53142548	
18.920000	98.54986572	
18.939999	99.98325348	
18.959999	101.77454376	
18.980000	103.82369995	
19.000000	105.93546295	
19.020000	107.88843536	
19.039999	109.46741486	
19.059999	110.56515503	
19.080000	111.17967987	
19.100000	111.35961914	
19.119999	111.21170044	
19.139999	110.83985138	
19.160000	110.35722351	
19.180000	109.77796936	
19.199999	109.12352753	
19.219999	108.37380981	
19.240000	107.59043121	
19.260000	106.77079010	
19.279999	105.92842865	
19.299999	105.04933167	
19.320000	104.21943665	
19.340000	103.41062927	
19.359999	102.61602020	
19.379999	101.77036285	
19.400000	100.95716858	
19.420000	100.13758850	
19.439999	99.37154388	
19.459999	98.63648987	
19.480000	98.03455353	
19.500000	97.54393768	
19.520000	97.19448090	
19.539999	96.92994690	
19.559999	96.78317261	
19.580000	96.75244904	
19.600000	96.90180206	
19.619999	97.25573730	
19.639999	97.89662933	
19.660000	98.87531281	
19.680000	100.21299744	
19.699999	101.87104797	
19.719999	103.74782562	
19.740000	105.72695160	
19.760000	107.59906769	
19.779999	109.19696808	
19.799999	110.36209869	
19.820000	111.04254913	
19.840000	111.24248505	
19.859999	111.04956818	
19.879999	110.57440948	
19.900000	109.92393494	
19.920000	109.18766785	
19.939999	108.36349487	
19.959999	107.45914459	
19.980000	106.45349884	
20.000000	105.40501404	
20.020000	104.29823303	
20.039999	103.17808533	
20.059999	102.09240723	
20.080000	101.12188721	
20.100000	100.21915436	
20.119999	99.40458679	
20.139999	98.66078949	
20.160000	98.02816010	
20.180000	97.42664337	
20.199999	96.88043976	
20.219999	96.38292694	
20.240000	95.98731232	
20.260000	95.66374969	
20.279999	95.44544983	
20.299999	95.32243347	
20.320000	95.30507660	
20.340000	95.37860870	
20.359999	95.58917236	
20.379999	96.01669312	
20.400000	96.73232269	
20.420000	97.82081604	
20.439999	99.29794312	
20.459999	101.15276337	
20.480000	103.24710846	
20.500000	105.45465088	
20.520000	107.55425262	
20.539999	109.39759064	
20.559999	110.83039093	
20.580000	111.83636475	
20.600000	112.41851807	
20.619999	112.65317535	
20.639999	112.61315155	
20.660000	112.36952209	
20.680000	111.99588776	
20.699999	111.53076935	
20.719999	111.04579926	
20.740000	110.53050995	
20.760000	109.94867706	
20.779999	109.21514130	
20.799999	108.33866882	
20.820000	107.33173370	
20.840000	106.26064301	
20.859999	105.19997406	
20.879999	104.25882721	
20.900000	103.44837189	
20.920000	102.73059845	
20.939999	102.08548737	
20.959999	101.51788330	
20.980000	100.98853302	
21.000000	100.47109985	
21.020000	99.94874573	
21.039999	99.43930054	
21.059999	98.90955353	
21.080000	98.37963104	
21.100000	97.83194733	
21.119999	97.31337738	
21.139999	96.79040527	
21.160000	96.32643127	
21.180000	95.91068268	
21.199999	95.58987427	
21.219999	95.34733582	
21.240000	95.20624542	
21.260000	95.17147064	
21.279999	95.26530457	
21.299999	95.51593781	
21.320000	95.95326233	
21.340000	96.64679718	
21.359999	97.61594391	
21.379999	98.90274048	
21.400000	100.47963715	
21.420000	102.31951904	
21.439999	104.26597595	
21.459999	106.17583466	
21.480000	107.85124207	
21.500000	109.17790222	
21.520000	110.06488800	
21.539999	110.55204010	
21.559999	110.69750214	
21.580000	110.60499573	
21.600000	110.34876251	
21.619999	109.99645996	
21.639999	109.55717468	
21.660000	109.05852509	
21.680000	108.47872162	
21.699999	107.74737549	
