Time	Paced_left_y_baseline X
20.340000	0.01697469	
20.359999	0.00257887	
20.379999	-0.00783010	
20.400000	-0.01257327	
20.420000	-0.01261531	
20.439999	-0.01219361	
20.459999	-0.01163065	
20.480000	-0.01148975	
20.500000	-0.01001278	
20.520000	-0.00625306	
20.539999	0.00223517	
20.559999	0.01207615	
20.580000	0.02264889	
20.600000	0.02976844	
20.619999	0.03655508	
20.639999	0.04018597	
20.660000	0.04345100	
20.680000	0.04436067	
20.699999	0.04454713	
20.719999	0.04335785	
20.740000	0.03780724	
20.760000	0.02925460	
20.779999	0.01575127	
20.799999	0.00213194	
20.820000	-0.00802800	
20.840000	-0.01277101	
20.859999	-0.01251543	
20.879999	-0.01199351	
20.900000	-0.01157181	
20.920000	-0.01167168	
20.939999	-0.00975938	
20.959999	-0.00515005	
20.980000	0.00295584	
21.000000	0.01059446	
21.020000	0.01841804	
21.039999	0.02366498	
21.059999	0.02960837	
21.080000	0.03276998	
21.100000	0.03415784	
21.119999	0.03160845	
21.139999	0.02515389	
21.160000	0.01525390	
21.180000	0.00146945	
21.199999	-0.00830023	
21.219999	-0.01377079	
21.240000	-0.01345301	
21.260000	-0.01306358	
21.279999	-0.01267383	
21.299999	-0.01251090	
21.320000	-0.01252955	
21.340000	-0.01083803	
21.359999	-0.00912800	
21.379999	-0.00388005	
21.400000	0.00172688	
21.420000	0.01025800	
21.439999	0.01727432	
21.459999	0.02465416	
21.480000	0.02912427	
21.500000	0.03205150	
21.520000	0.03221948	
21.539999	0.02841438	
21.559999	0.01959875	
21.580000	0.00425324	
21.600000	-0.00697038	
21.619999	-0.01316497	
21.639999	-0.01250298	
21.660000	-0.01192659	
21.680000	-0.01184924	
21.699999	-0.01163065	
21.719999	-0.01148975	
21.740000	-0.01001278	
21.760000	-0.00640877	
21.779999	0.00050834	
21.799999	0.00747959	
21.820000	0.01487541	
21.840000	0.01897477	
21.859999	0.02352087	
21.879999	0.02548783	
21.900000	0.02647820	
21.920000	0.02387230	
21.939999	0.01594968	
21.959999	0.00375386	
21.980000	-0.00736500	
22.000000	-0.01328115	
22.020000	-0.01309200	
22.039999	-0.01222034	
22.059999	-0.01182570	
22.080000	-0.01230289	
22.100000	-0.01178266	
22.119999	-0.01078522	
22.139999	-0.00513507	
22.160000	0.00311643	
22.180000	0.01493897	
22.199999	0.02311161	
