Time	Knöchel re X	Knöchel re Y	Knöchel re Weg	Knöchel re v(X)	Knöchel re v(Y)	Knöchel re v(Bahn)	Knöchel re a(X)	Knöchel re a(Y)	Knöchel re a(Bahn)
3.440000	-0.84807914	-0.53544372	1.07509780	-0.20252706	-0.12582213	0.23842907	-2.39500618	1.47770298	0.21884048	
3.460000	-0.85279506	-0.53769767	1.08032465	-0.22181338	-0.09579083	0.24161345	-1.12177896	1.31545603	0.24668697	
3.480000	-0.85703063	-0.53940970	1.08489311	-0.22242333	-0.06889649	0.23284945	-0.39762887	1.14273274	-0.04772722	
3.500000	-0.86134708	-0.54046524	1.08933675	-0.21956603	-0.04820002	0.22479431	-0.08850554	0.90525573	-0.16364449	
3.520000	-0.86565673	-0.54094350	1.09367287	-0.22084157	-0.03238021	0.22320278	-0.03481270	0.62626296	-0.09939151	
3.540000	-0.87017518	-0.54125923	1.09820235	-0.22408953	-0.02253626	0.22521989	-0.08164709	0.39076209	0.01627815	
3.560000	-0.87470281	-0.54169226	1.10275066	-0.22648241	-0.01913631	0.22728942	-0.11050486	0.23246406	0.08149578	
3.580000	-0.87934941	-0.54208672	1.10741401	-0.22828048	-0.01905535	0.22907442	-0.10288999	0.13767572	0.09095926	
3.600000	-0.88383025	-0.54249400	1.11191332	-0.22991167	-0.01753220	0.23057917	-0.08606112	0.11410431	0.07893179	
3.620000	-0.88845277	-0.54284614	1.11654925	-0.23161562	-0.01438657	0.23206200	-0.05308884	0.15271589	0.04548646	
3.640000	-0.89302886	-0.54313880	1.12113464	-0.23346385	-0.01070400	0.23370911	0.01828074	0.20535870	-0.02581613	
3.660000	-0.89783162	-0.54327226	1.12593925	-0.23370823	-0.00623390	0.23379137	0.14084056	0.25050595	-0.14490399	
3.680000	-0.90254015	-0.54336143	1.13064861	-0.23043396	-0.00083148	0.23043546	0.31079093	0.30996233	-0.30645350	
3.700000	-0.90727741	-0.54333371	1.13538599	-0.22248542	0.00526036	0.22254761	0.49852887	0.39935291	-0.47480494	
