Time	Paced_right_y_velocity X
13.040000	-0.05126581	
13.059999	-0.01167847	
13.080000	0.00261795	
13.099999	-0.00024692	
13.120000	0.00531909	
13.139999	0.01289931	
13.160000	0.03049832	
13.179999	0.05351036	
13.200000	0.09075934	
13.219999	0.13532621	
13.240000	0.18829460	
13.259999	0.22712329	
13.280000	0.24596585	
13.299999	0.24075827	
13.320000	0.20747437	
13.340000	0.15799372	
13.360000	0.08801175	
13.380000	0.01255037	
13.400000	-0.07648452	
13.420000	-0.17245261	
13.440000	-0.26308584	
13.460000	-0.31032997	
13.480000	-0.30208132	
13.500000	-0.24945541	
13.520000	-0.17109041	
13.540000	-0.08901087	
13.559999	-0.02413850	
13.580000	0.00162758	
13.599999	0.01182736	
13.620000	0.02957991	
13.639999	0.06302977	
13.660000	0.10409363	
13.679999	0.15304281	
13.700000	0.19670194	
13.719999	0.23067455	
13.740000	0.24215072	
13.759999	0.23634690	
13.780000	0.21726182	
13.799999	0.18978658	
13.820000	0.15983880	
13.840000	0.12419716	
13.860000	0.09306231	
13.880000	0.05002256	
13.900000	-0.00814485	
13.920000	-0.08681922	
