Time	Knee_Angle_right X
17.600000	142.28341675	
17.619999	144.27415466	
17.639999	145.66874695	
17.660000	146.72578430	
17.680000	147.61909485	
17.699999	148.52090454	
17.719999	149.49822998	
17.740000	150.61973572	
17.760000	151.76359558	
17.779999	152.81907654	
17.799999	153.79492188	
17.820000	154.79406738	
17.840000	155.79034424	
17.859999	156.73625183	
17.879999	157.63957214	
17.900000	158.55145264	
17.920000	159.40203857	
17.940001	160.16796875	
17.959999	160.78027344	
17.980000	161.20829773	
18.000000	161.38061523	
18.020000	161.27098083	
18.039999	160.87747192	
18.059999	160.16632080	
18.080000	159.14517212	
18.100000	157.69966125	
18.119999	155.78108215	
18.139999	153.27159119	
18.160000	150.24096680	
18.180000	146.69644165	
18.199999	142.92257690	
18.219999	139.24371338	
18.240000	136.09803772	
18.260000	133.77371216	
18.279999	132.50590515	
18.299999	132.36856079	
18.320000	133.28620911	
18.340000	135.06288147	
18.359999	137.40264893	
18.379999	139.96261597	
18.400000	142.33554077	
18.420000	144.31704712	
18.440001	145.86015320	
18.459999	147.11253357	
18.480000	148.15275574	
18.500000	149.12420654	
18.520000	150.08631897	
18.539999	151.10969543	
18.559999	152.05415344	
18.580000	152.92968750	
18.600000	153.77191162	
18.619999	154.68205261	
18.639999	155.51220703	
18.660000	156.23954773	
18.680000	156.84495544	
18.699999	157.39840698	
18.719999	157.80158997	
18.740000	158.08000183	
18.760000	158.24514771	
18.779999	158.31097412	
18.799999	158.20916748	
18.820000	157.90794373	
18.840000	157.35690308	
18.859999	156.47216797	
18.879999	155.16331482	
18.900000	153.31219482	
18.920000	150.83084106	
18.939999	147.69514465	
18.959999	144.08317566	
18.980000	140.25578308	
19.000000	136.66207886	
19.020000	133.77104187	
19.039999	132.01348877	
19.059999	131.57394409	
19.080000	132.40327454	
19.100000	134.31211853	
19.119999	136.94215393	
19.139999	139.80651855	
19.160000	142.37716675	
19.180000	144.46043396	
19.199999	146.03204346	
19.219999	147.23522949	
19.240000	148.13079834	
19.260000	148.93891907	
19.279999	149.79544067	
19.299999	150.72988892	
19.320000	151.57962036	
19.340000	152.39607239	
19.359999	153.24732971	
19.379999	154.21029663	
19.400000	155.14799500	
19.420000	156.06364441	
19.439999	156.89262390	
19.459999	157.63481140	
19.480000	158.15328979	
19.500000	158.44970703	
19.520000	158.51319885	
19.539999	158.41183472	
19.559999	158.12471008	
19.580000	157.61199951	
19.600000	156.78846741	
19.619999	155.57945251	
19.639999	153.87638855	
19.660000	151.57618713	
19.680000	148.69987488	
19.699999	145.33779907	
19.719999	141.74736023	
19.740000	138.21525574	
19.760000	135.22262573	
19.779999	133.11854553	
19.799999	132.20074463	
19.820000	132.55735779	
19.840000	134.09469604	
19.859999	136.51657104	
19.879999	139.33062744	
19.900000	142.04725647	
19.920000	144.31829834	
19.939999	146.13957214	
19.959999	147.58485413	
19.980000	148.83972168	
20.000000	150.03344727	
20.020000	151.32617188	
20.039999	152.67143250	
20.059999	153.93203735	
20.080000	155.03788757	
20.100000	156.07890320	
20.119999	157.03651428	
20.139999	157.90089417	
20.160000	158.59082031	
20.180000	159.18968201	
20.199999	159.67594910	
20.219999	160.04774475	
20.240000	160.25437927	
20.260000	160.33427429	
20.279999	160.26397705	
20.299999	160.02166748	
20.320000	159.60433960	
20.340000	158.97816467	
20.359999	158.09097290	
20.379999	156.77484131	
20.400000	154.96284485	
20.420000	152.49929810	
20.439999	149.41778564	
20.459999	145.77691650	
20.480000	141.89761353	
20.500000	138.03337097	
20.520000	134.60871887	
20.539999	131.91578674	
20.559999	130.21890259	
20.580000	129.58761597	
20.600000	129.99015808	
20.619999	131.28939819	
20.639999	133.26588440	
20.660000	135.71134949	
20.680000	138.30952454	
20.699999	140.74099731	
20.719999	142.68746948	
20.740000	144.12188721	
20.760000	145.19409180	
20.779999	146.15129089	
20.799999	147.18794250	
20.820000	148.44514465	
20.840000	149.90011597	
20.859999	151.37611389	
20.879999	152.68237305	
20.900000	153.80599976	
20.920000	154.81053162	
20.939999	155.70541382	
20.959999	156.47023010	
20.980000	157.14674377	
21.000000	157.76112366	
21.020000	158.31729126	
21.039999	158.79547119	
21.059999	159.24111938	
21.080000	159.66113281	
21.100000	160.08082581	
21.119999	160.45028687	
21.139999	160.80177307	
21.160000	161.06687927	
21.180000	161.26309204	
21.199999	161.33605957	
21.219999	161.28392029	
21.240000	161.08590698	
21.260000	160.69871521	
21.279999	160.09548950	
21.299999	159.19740295	
21.320000	157.98089600	
21.340000	156.32101440	
21.359999	154.21032715	
21.379999	151.58529663	
21.400000	148.53283691	
21.420000	145.13656616	
21.439999	141.70632935	
21.459999	138.52633667	
21.480000	135.96026611	
