Time	Right_Heel_y_baseline X
21.039999	-0.00920562	
21.059999	-0.01496284	
21.080000	-0.01695779	
21.100000	-0.01638350	
21.119999	-0.01519811	
21.139999	-0.01180509	
21.160000	-0.00926068	
21.180000	-0.00360826	
21.199999	0.00077330	
21.219999	0.00831959	
21.240000	0.01321195	
21.260000	0.01774618	
21.279999	0.01877911	
21.299999	0.01808132	
21.320000	0.01485454	
21.340000	0.00809686	
21.359999	-0.00024669	
21.379999	-0.00976266	
21.400000	-0.01597233	
21.420000	-0.01852085	
21.439999	-0.01794654	
21.459999	-0.01402463	
21.480000	-0.01085168	
21.500000	-0.00440674	
21.520000	0.00013591	
21.539999	0.00795262	
21.559999	0.01271778	
21.580000	0.01778153	
21.600000	0.01950444	
21.619999	0.01956403	
21.639999	0.01610833	
21.660000	0.00958717	
21.680000	0.00242779	
21.699999	-0.00673847	
21.719999	-0.01281027	
21.740000	-0.01713862	
21.760000	-0.01743615	
21.779999	-0.01500763	
21.799999	-0.01212932	
21.820000	-0.00832947	
21.840000	-0.00650793	
21.859999	-0.00150193	
21.879999	0.00286812	
21.900000	0.00985038	
21.920000	0.01377454	
21.939999	0.01690949	
21.959999	0.01667196	
21.980000	0.01420194	
22.000000	0.00899848	
22.020000	0.00058693	
