Time	Left_Heel_y_baseline X
18.900000	0.00460199	
18.920000	0.00758594	
18.939999	0.01036376	
18.959999	0.01117314	
18.980000	0.00964484	
19.000000	0.00697735	
19.020000	0.00122438	
19.039999	-0.00354581	
19.059999	-0.00828059	
19.080000	-0.00992967	
19.100000	-0.01113783	
19.119999	-0.01168521	
19.139999	-0.01223299	
19.160000	-0.01223299	
19.180000	-0.01147763	
19.199999	-0.01074521	
19.219999	-0.00787610	
19.240000	-0.00566776	
19.260000	-0.00200686	
19.279999	-0.00048263	
19.299999	0.00223377	
19.320000	0.00352032	
19.340000	0.00467096	
19.359999	0.00390743	
19.379999	0.00021479	
19.400000	-0.00386474	
19.420000	-0.00753199	
19.439999	-0.00857823	
19.459999	-0.00895591	
19.480000	-0.00930656	
19.500000	-0.00867894	
19.520000	-0.00819625	
19.539999	-0.00613120	
19.559999	-0.00480269	
19.580000	-0.00239702	
19.600000	-0.00107177	
19.619999	0.00173880	
19.639999	0.00344397	
19.660000	0.00457987	
19.680000	0.00402410	
19.699999	0.00064549	
19.719999	-0.00347151	
19.740000	-0.00831048	
19.760000	-0.01029794	
19.779999	-0.01160538	
19.799999	-0.01190363	
19.820000	-0.01249972	
19.840000	-0.01278222	
19.859999	-0.01225019	
19.879999	-0.01106946	
19.900000	-0.00785808	
19.920000	-0.00461374	
19.939999	0.00130606	
19.959999	0.00604452	
19.980000	0.01141101	
20.000000	0.01384984	
20.020000	0.01543997	
20.039999	0.01530242	
20.059999	0.01210067	
20.080000	0.00786413	
20.100000	0.00104527	
20.119999	-0.00380211	
20.139999	-0.00839236	
20.160000	-0.01017000	
20.180000	-0.01085493	
20.199999	-0.01076281	
20.219999	-0.01043141	
20.240000	-0.01022199	
20.260000	-0.00907156	
20.279999	-0.00802267	
20.299999	-0.00531793	
20.320000	-0.00346003	
20.340000	-0.00042368	
20.359999	0.00116052	
20.379999	0.00330888	
20.400000	0.00414774	
20.420000	0.00455143	
20.439999	0.00429575	
20.459999	0.00058591	
20.480000	-0.00353107	
20.500000	-0.00843248	
20.520000	-0.00987953	
20.539999	-0.01169156	
20.559999	-0.01271917	
20.580000	-0.01406427	
20.600000	-0.01433899	
20.619999	-0.01418300	
20.639999	-0.01361515	
20.660000	-0.01178981	
20.680000	-0.01024389	
20.699999	-0.00655289	
